work id,similarity % between nalanda and derge-tengyur,,
D2444,87,,missing in derge-tengyur
D1587,86,,D4038x
D3825,86,,D4038y
D3969,86,,D2869
D3827,85,,D1936b
D3884,85,,D1793y
D3952,85,,D4358x
D1124,84,,D4358y
D1156,84,,D1793x
D1163,84,,
D1268,84,,
D1442,84,,
D1490,84,,
D1495,84,,
D1496,84,,
D1497,84,,
D1683,84,,
D1796,84,,
D1801,84,,
D1807,84,,
D1814,84,,
D2473,84,,
D2487,84,,
D3068,84,,
D3708,84,,
D3793,84,,
D3798,84,,
D3816,84,,
D3823,84,,
D3866,84,,
D3883,84,,
D3887,84,,
D3889,84,,
D3908,84,,
D3915,84,,
D3954,84,,
D3984,84,,
D3987,84,,
D3988,84,,
D3995,84,,
D4001,84,,
D4005,84,,
D4007,84,,
D4027,84,,
D4073,84,,
D4166,84,,
D4182,84,,
D4203,84,,
D4384,84,,
D4395,84,,
D1118,83,,
D1123,83,,
D1125,83,,
D1127,83,,
D1128,83,,
D1129,83,,
D1131,83,,
D1132,83,,
D1135,83,,
D1136,83,,
D1137,83,,
D1150,83,,
D1157,83,,
D1158,83,,
D1162,83,,
D1166,83,,
D1191,83,,
D1206,83,,
D1316,83,,
D1491,83,,
D1492,83,,
D1494,83,,
D1557,83,,
D1592,83,,
D1594,83,,
D1609,83,,
D1610,83,,
D1613,83,,
D1696,83,,
D1724,83,,
D1758,83,,
D1780,83,,
D1784,83,,
D1784a,83,,
D1785,83,,
D1786,83,,
D1794,83,,
D1797,83,,
D1799,83,,
D1800,83,,
D1803,83,,
D1804,83,,
D1805,83,,
D1806,83,,
D1808,83,,
D1817,83,,
D1824,83,,
D1838,83,,
D1865,83,,
D1892,83,,
D1893,83,,
D1894,83,,
D1937,83,,
D1939,83,,
D1940,83,,
D1942,83,,
D1943,83,,
D1944,83,,
D1948,83,,
D1949,83,,
D1950,83,,
D1951,83,,
D2206,83,,
D2213,83,,
D2225,83,,
D2279,83,,
D2313,83,,
D2314,83,,
D2315,83,,
D2316,83,,
D2319,83,,
D2321,83,,
D2324,83,,
D2327,83,,
D2334,83,,
D2447,83,,
D2449,83,,
D2457,83,,
D2496,83,,
D2637,83,,
D2640,83,,
D2655,83,,
D2675,83,,
D2701,83,,
D2952,83,,
D3036,83,,
D3052,83,,
D3053,83,,
D3058,83,,
D3067,83,,
D3069,83,,
D3079,83,,
D3133,83,,
D3134,83,,
D3195,83,,
D3488,83,,
D3645,83,,
D3685,83,,
D3686,83,,
D3725,83,,
D3729,83,,
D3739,83,,
D3778,83,,
D3779,83,,
D3787,83,,
D3788,83,,
D3791,83,,
D3792,83,,
D3804,83,,
D3809,83,,
D3817,83,,
D3824,83,,
D3826,83,,
D3828,83,,
D3829,83,,
D3830,83,,
D3831,83,,
D3832,83,,
D3834,83,,
D3835,83,,
D3838,83,,
D3840,83,,
D3842,83,,
D3843,83,,
D3845,83,,
D3847,83,,
D3848,83,,
D3849,83,,
D3850,83,,
D3851,83,,
D3853,83,,
D3854,83,,
D3855,83,,
D3856,83,,
D3860,83,,
D3861,83,,
D3862,83,,
D3863,83,,
D3864,83,,
D3865,83,,
D3867,83,,
D3885,83,,
D3886,83,,
D3888,83,,
D3898,83,,
D3902,83,,
D3916,83,,
D3917,83,,
D3928,83,,
D3930,83,,
D3934,83,,
D3939,83,,
D3940,83,,
D3946,83,,
D3947,83,,
D3948,83,,
D3949,83,,
D3950,83,,
D3951,83,,
D3953,83,,
D3956,83,,
D3958,83,,
D3959,83,,
D3961,83,,
D3966,83,,
D3971,83,,
D3977,83,,
D3981,83,,
D3982,83,,
D3983,83,,
D3986,83,,
D3991,83,,
D3993,83,,
D3994,83,,
D4000,83,,
D4004,83,,
D4011,83,,
D4012,83,,
D4017,83,,
D4028,83,,
D4035,83,,
D4040,83,,
D4041,83,,
D4042,83,,
D4044,83,,
D4045,83,,
D4048,83,,
D4050,83,,
D4052,83,,
D4055,83,,
D4056,83,,
D4057,83,,
D4060,83,,
D4062,83,,
D4067,83,,
D4068,83,,
D4074,83,,
D4082,83,,
D4089,83,,
D4090,83,,
D4101,83,,
D4103,83,,
D4117,83,,
D4118,83,,
D4128,83,,
D4132,83,,
D4133,83,,
D4139,83,,
D4148,83,,
D4151,83,,
D4158,83,,
D4160,83,,
D4162,83,,
D4163,83,,
D4188,83,,
D4193,83,,
D4204,83,,
D4206,83,,
D4207,83,,
D4208,83,,
D4210,83,,
D4211,83,,
D4214,83,,
D4215,83,,
D4216,83,,
D4218,83,,
D4219,83,,
D4232,83,,
D4330,83,,
D1115,82,,
D1120,82,,
D1121,82,,
D1122,82,,
D1130,82,,
D1146,82,,
D1307,82,,
D1591,82,,
D1612,82,,
D1614,82,,
D1615,82,,
D1752,82,,
D1765,82,,
D1816,82,,
D1928,82,,
D1938,82,,
D1941,82,,
D2190,82,,
D2191,82,,
D2204,82,,
D2205,82,,
D2207,82,,
D2277,82,,
D2278,82,,
D2317,82,,
D2318,82,,
D2320,82,,
D2322,82,,
D2323,82,,
D2325,82,,
D2326,82,,
D2328,82,,
D2329,82,,
D2341,82,,
D2373,82,,
D2382,82,,
D2460,82,,
D2461,82,,
D2480,82,,
D2482,82,,
D2508,82,,
D2654,82,,
D2678,82,,
D2852,82,,
D2867,82,,
D2888,82,,
D2951,82,,
D2957,82,,
D2958,82,,
D2998,82,,
D3046,82,,
D3048,82,,
D3057,82,,
D3060,82,,
D3080,82,,
D3081,82,,
D3117,82,,
D3193,82,,
D3194,82,,
D3196,82,,
D3518,82,,
D3550,82,,
D3562,82,,
D3648,82,,
D3664,82,,
D3687,82,,
D3689,82,,
D3769,82,,
D3836,82,,
D3837,82,,
D3839,82,,
D3844,82,,
D3846,82,,
D3857,82,,
D3871,82,,
D3918,82,,
D3929,82,,
D3937,82,,
D3941,82,,
D3975,82,,
D3985,82,,
D4025,82,,
D4026,82,,
D4036,82,,
D4049,82,,
D4061,82,,
D4063,82,,
D4095,82,,
D4102,82,,
D4121,82,,
D4124,82,,
D4138,82,,
D4161,82,,
D4164,82,,
D4195,82,,
D4205,82,,
D4213,82,,
D4239,82,,
D4307,82,,
D4308,82,,
D4328,82,,
D4329,82,,
D4383,82,,
D4385,82,,
D4387,82,,
D4389,82,,
D1119,81,,
D1593,81,,
D1684,81,,
D1772,81,,
D1778,81,,
D1779,81,,
D2374,81,,
D2481,81,,
D2866,81,,
D2946,81,,
D2949,81,,
D2953,81,,
D2955,81,,
D2956,81,,
D2970,81,,
D2972,81,,
D3037,81,,
D3039,81,,
D3042,81,,
D3082,81,,
D3368,81,,
D3690,81,,
D3780,81,,
D3955,81,,
D3976,81,,
D4058,81,,
D4180,81,,
D4209,81,,
D4306,81,,
D4388,81,,
D4393,81,,
D1695,80,,
D1792,80,,
D2694,80,,
D2954,80,,
D2997,80,,
D3031,80,,
D3040,80,,
D4274,80,,
D4319,80,,
D2248,79,,
D2591,79,,
D2736,79,,
D3017,79,,
D3024,79,,
D3041,79,,
D3047,79,,
D2945,78,,
D2950,78,,
D2999,78,,
D3007,78,,
D3033,78,,
D3034,78,,
D1133,77,,
D1134,77,,
D1464,76,,
D2947,76,,
D2948,75,,
D3018,74,,
D3035,74,,
D2969,73,,
D1759,71,,
D1771,71,,
D4410,71,,
D2971,70,,
D4411,70,,
D3808,69,,
D4267,69,,
D2659,66,,
D4119,66,,
D2732,65,,
D3973,65,,
D3790,61,,
D4037,60,,
D3794,59,,
D3815,59,,
D4266,59,,
D1286,58,,
D4015,57,,
D2702,56,,
D2850,56,,
D3990,56,,
D4039,56,,
D1340,54,,
D2853,53,,
D4434a,53,,
D2712,51,,
D2736a,51,,
D2889,50,,
D4125,50,,
D2868,49,,
D3132,48,,
D3957,46,,
D4212,37,,
